Diagnosed Diabetes; 45-64 (Age); Adults with Diabetes; Percentage; U.S. States; 2015
Data downloaded on 26-April-2019
State,Percentage,Lower Limit, Upper Limit
Median of States,12.9,12.7,14.5
Alabama,17.8,16.1,19.6
Alaska,11.6,9.0,14.9
Arizona,13.9,12.3,15.7
Arkansas,19.1,16.5,22.0
California,13.7,12.3,15.2
Colorado,8.5,7.5,9.6
Connecticut,11.4,10.2,12.7
Delaware,16.8,14.5,19.5
District of Columbia,14.9,11.9,18.5
Florida,14.1,12.5,15.8
Georgia,17.2,15.1,19.5
Hawaii,11.6,10.0,13.3
Idaho,10.1,8.5,11.8
Illinois,12.2,10.5,14.0
Indiana,15.9,14.0,18.0
Iowa,11.7,10.2,13.3
Kansas,12.4,11.7,13.3
Kentucky,18.3,16.3,20.5
Louisiana,16.3,14.3,18.6
Maine,10.7,9.5,12.1
Maryland,13.8,12.0,15.8
Massachusetts,11.1,9.8,12.6
Michigan,12.9,11.6,14.3
Minnesota,9.1,8.3,9.9
Mississippi,19.4,17.4,21.6
Missouri,14.9,13.3,16.8
Montana,9.8,8.3,11.6
Nebraska,11.3,10.2,12.5
Nevada,11.8,9.0,15.3
New Hampshire,9.4,8.1,10.7
New Jersey,10.6,9.3,12.0
New Mexico,15.1,13.2,17.1
New York,13.2,12.1,14.5
North Carolina,14.3,12.8,16.0
North Dakota,11.4,9.7,13.2
Ohio,15.1,13.5,16.8
Oklahoma,17.5,15.7,19.5
Oregon,13.9,12.0,16.0
Pennsylvania,12.3,10.7,14.1
Rhode Island,11.7,10.1,13.5
South Carolina,14.8,13.4,16.3
South Dakota,11.6,9.8,13.7
Tennessee,17.1,14.9,19.5
Texas,17.8,15.8,19.9
Utah,10.1,9.0,11.3
Vermont,9.4,8.2,10.8
Virginia,12.8,11.4,14.3
Washington,10.7,9.7,11.8
West Virginia,18.4,16.6,20.2
Wisconsin,10.3,8.8,11.9
Wyoming,11.5,9.7,13.5
Guam,19.6,15.1,25.0
Puerto Rico,22.1,20.0,24.3
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
